Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,BUDGET 2024 APPROUVÉ,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,BUDGET 2024 RÉEL,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166
FR,0.9,,FR,0,,,,0,,,,,0,,,,,171000,,,,,216000,,,,342000,,,,256500,,,,0,,,,,0,135000,,,,40500,,,,,,,,,0,,,,,,,,,,,,0,,,,0,,,,,0,,,,,171000,,,,,216000,,,,342000,,,,256500,,,,0,,,,,0,135000,,,,40500,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1421003.4840000002,0.37070397056967785,,,,1299000,,,,,,
EN,0.1,,EN,0,,,,0,,,,,0,,,,,19000,,,,,24000,,,,38000,,,,28500,,,,0,,,,,0,15000,,,,4500,,,,,,,,,0,,,,,,,,,,,,0,,,,0,,,,,0,,,,,19000,,,,,24000,,,,38000,,,,28500,,,,0,,,,,0,15000,,,,4500,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157889.276,0.04118933006329754,,,,136000,,,,,,
,,,RADIO,0,,,,0,,,,,0,,,,,0,,,,,66838.70702702703,,,,153026.64864864864,,,,129940.64864864864,,,,155756.75675675675,,,,,93729.72972972973,55870.27027027027,,,,63313.51351351352,,,,,0,112062.16216216217,,,0,,,,,830538.4367567567,0.2330409823619196,,,,,,0,,,,0,,,,,0,,,,,0,,,,,66692.3,,,,144407.22,,,,146743.85,,,,191181.87,,,,,84742.00799999999,56494.672,,,,147818.48,,,,,0,37649.59,,,0,,,,,,,,875729.99,0.2457212912990854,45191.55324324325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833924.1000000001,0.21754976571454002,52075.89999999991,0.06244681020730772,,685000,,,,,,
FR,0.9,,FR,0,,,,0,,,,,0,,,,,0,,,,,0,,,,148500,,,,130500,,,,171000,,,,,,67500,,,,67500,,,,,,126900,,,0,,,,,,,,,,,,0,,,,0,,,,,0,,,,,0,,,,,0,,,,148500,,,,130500,,,,171000,,,,,,67500,,,,67500,,,,,,126900,,,0,,,,,,,,711900,0.19975219448156492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614144.277,0.160214752848941,97755.723,0.15917387275433326,,602800,,,,,,
EN,0.1,,EN,0,,,,0,,,,,0,,,,,0,,,,,0,,,,16500,,,,14500,,,,19000,,,,,,7500,,,,7500,,,,,,14100,,,0,,,,,,,,,,,,0,,,,0,,,,,0,,,,,0,,,,,0,,,,16500,,,,14500,,,,19000,,,,,,7500,,,,7500,,,,,,14100,,,0,,,,,,,,79100,0.022194688275729436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68238.253,0.017801639205437886,10861.747000000003,0.1591738727543333,,82200,,,,,,
,,,PANNEAUX,0,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,13783.783783783783,,,,0,,,,,0,0,,,,0,,,,,0,0,,,0,,,,,13783.783783783783,0.0038675952508360994,,,,,,0,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,10191,,,,0,,,,,0,0,,,,0,,,,,0,0,,,0,,,,,,,,10191,0.0028594951734255206,-3592.7837837837833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113711.23999999999,0.029664394662667532,-113711.23999999999,-1,,90000,,,,,,
,,,CIRCULAIRE PAPIER,0,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,0,,,,0,,,,,0,0,,,0,,,,,0,0,,,,,,0,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,0,,,,0,,,,,0,0,,,0,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,330000,,,,,,
,,,TOTAL TRADITIONNEL,0,,,,0,,,,,0,,,,,174594.5945945946,,,,,287379.2475675676,,,,502215.8378378378,,,,405616.32432432426,,,,155756.75675675675,,,,,93729.72972972973,193708.1081081081,,,,104664.86486486488,,,,,0,286656.7567567568,,,0,,,,,2204322.2205405403,0.6185113090285841,,,,,,0,,,,0,,,,,0,,,,,136924.23,,,,,360227.94,,,,485753.99,,,,391818.49,,,,191181.87,,,,,84742.00799999999,178642.312,,,,188490.37,,,,,0,211480.27,,,0,,,,,,,,2229261.4799999995,0.6255090219177147,24939.259459459223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2526528.0999999996,0.6591074610101828,-160528.09999999963,-0.06353703329086254,,2510000,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NUMÉRIQUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
