Date,City,Category,Sales
2021-07-05,Montreal,PC,195.89055425002232
2021-07-06,Montreal,PC,189.42392621128184
2021-07-07,Montreal,PC,197.94784355170626
2021-07-08,Montreal,PC,191.57158078758033
2021-07-09,Montreal,PC,202.69523278583924
2021-07-10,Montreal,PC,206.12700204016966
2021-07-11,Montreal,PC,197.3809325645911
2021-07-12,Montreal,PC,206.27428816893826
2021-07-13,Montreal,PC,199.49316349098862
2021-07-14,Montreal,PC,201.80864291458622
2021-07-15,Montreal,PC,198.6779091537649
2021-07-16,Montreal,PC,205.92250357327802
2021-07-17,Montreal,PC,210.4584081736376
2021-07-18,Montreal,PC,207.46511397650156
2021-07-19,Montreal,PC,197.91302509844724
